,count,mainCat,neighborhood,year
192,124,assault,Cox,2012
193,113,assault,Cox,2013
194,105,assault,Cox,2014
195,47,assault,Cox,2015
196,6,assault,Crestmont,2007
197,7,assault,Crestmont,2008
198,3,assault,Crestmont,2009
199,2,assault,Crestmont,2010
200,3,assault,Crestmont,2011
201,3,assault,Crestmont,2012
202,4,assault,Crestmont,2013
203,2,assault,Crestmont,2014
204,1,assault,Crestmont,2015
205,2,assault,Crocker Highland,2007
206,6,assault,Crocker Highland,2008
207,3,assault,Crocker Highland,2009
208,8,assault,Crocker Highland,2010
209,5,assault,Crocker Highland,2011
210,10,assault,Crocker Highland,2012
211,1,assault,Crocker Highland,2013
212,2,assault,Crocker Highland,2014
213,48,assault,Dimond,2007
214,34,assault,Dimond,2008
215,20,assault,Dimond,2009
216,13,assault,Dimond,2010
217,21,assault,Dimond,2011
218,31,assault,Dimond,2012
219,20,assault,Dimond,2013
220,10,assault,Dimond,2014
221,9,assault,Dimond,2015
222,468,assault,Downtown,2007
223,359,assault,Downtown,2008
224,221,assault,Downtown,2009
225,222,assault,Downtown,2010
226,224,assault,Downtown,2011
227,419,assault,Downtown,2012
228,307,assault,Downtown,2013
229,222,assault,Downtown,2014
230,110,assault,Downtown,2015
231,51,assault,Durant Manor,2007
232,55,assault,Durant Manor,2008
233,21,assault,Durant Manor,2009
234,30,assault,Durant Manor,2010
235,27,assault,Durant Manor,2011
236,30,assault,Durant Manor,2012
237,43,assault,Durant Manor,2013
238,27,assault,Durant Manor,2014
239,10,assault,Durant Manor,2015
240,74,assault,East Peralta,2007
241,76,assault,East Peralta,2008
242,34,assault,East Peralta,2009
243,46,assault,East Peralta,2010
244,43,assault,East Peralta,2011
245,49,assault,East Peralta,2012
246,61,assault,East Peralta,2013
247,61,assault,East Peralta,2014
248,24,assault,East Peralta,2015
249,156,assault,Eastmont,2007
250,159,assault,Eastmont,2008
251,77,assault,Eastmont,2009
252,84,assault,Eastmont,2010
253,77,assault,Eastmont,2011
254,99,assault,Eastmont,2012
255,99,assault,Eastmont,2013
256,78,assault,Eastmont,2014
257,30,assault,Eastmont,2015
258,135,assault,Eastmont Hills,2007
259,133,assault,Eastmont Hills,2008
260,58,assault,Eastmont Hills,2009
261,94,assault,Eastmont Hills,2010
262,67,assault,Eastmont Hills,2011
263,85,assault,Eastmont Hills,2012
264,83,assault,Eastmont Hills,2013
265,60,assault,Eastmont Hills,2014
266,34,assault,Eastmont Hills,2015
267,89,assault,Elmhurst Park,2007
268,103,assault,Elmhurst Park,2008
269,43,assault,Elmhurst Park,2009
270,55,assault,Elmhurst Park,2010
271,40,assault,Elmhurst Park,2011
272,72,assault,Elmhurst Park,2012
273,68,assault,Elmhurst Park,2013
274,40,assault,Elmhurst Park,2014
275,16,assault,Elmhurst Park,2015
276,74,assault,Fairfax,2007
277,87,assault,Fairfax,2008
278,44,assault,Fairfax,2009
279,40,assault,Fairfax,2010
280,38,assault,Fairfax,2011
281,52,assault,Fairfax,2012
282,59,assault,Fairfax,2013
283,56,assault,Fairfax,2014
284,27,assault,Fairfax,2015
285,108,assault,Fairfax Business/  Wentworth/ Holland,2007
286,119,assault,Fairfax Business/  Wentworth/ Holland,2008
287,36,assault,Fairfax Business/  Wentworth/ Holland,2009
288,31,assault,Fairfax Business/  Wentworth/ Holland,2010
289,43,assault,Fairfax Business/  Wentworth/ Holland,2011
290,59,assault,Fairfax Business/  Wentworth/ Holland,2012
291,38,assault,Fairfax Business/  Wentworth/ Holland,2013
292,48,assault,Fairfax Business/  Wentworth/ Holland,2014
293,18,assault,Fairfax Business/  Wentworth/ Holland,2015
294,60,assault,Fairview Park,2007
295,46,assault,Fairview Park,2008
296,36,assault,Fairview Park,2009
297,13,assault,Fairview Park,2010
298,19,assault,Fairview Park,2011
299,23,assault,Fairview Park,2012
300,26,assault,Fairview Park,2013
301,27,assault,Fairview Park,2014
302,12,assault,Fairview Park,2015
303,102,assault,Fitchburg,2007
304,112,assault,Fitchburg,2008
305,67,assault,Fitchburg,2009
306,85,assault,Fitchburg,2010
307,84,assault,Fitchburg,2011
308,93,assault,Fitchburg,2012
309,94,assault,Fitchburg,2013
310,58,assault,Fitchburg,2014
311,37,assault,Fitchburg,2015
312,103,assault,Foothill Square,2007
313,95,assault,Foothill Square,2008
314,46,assault,Foothill Square,2009
315,39,assault,Foothill Square,2010
316,57,assault,Foothill Square,2011
317,59,assault,Foothill Square,2012
318,53,assault,Foothill Square,2013
319,57,assault,Foothill Square,2014
320,21,assault,Foothill Square,2015
321,2,assault,Forestland,2008
322,2,assault,Forestland,2010
323,4,assault,Forestland,2012
324,5,assault,Forestland,2013
325,2,assault,Forestland,2014
326,298,assault,Fremont,2007
327,316,assault,Fremont,2008
328,107,assault,Fremont,2009
329,120,assault,Fremont,2010
330,169,assault,Fremont,2011
331,186,assault,Fremont,2012
332,122,assault,Fremont,2013
333,115,assault,Fremont,2014
334,69,assault,Fremont,2015
335,160,assault,Frick,2007
336,147,assault,Frick,2008
337,74,assault,Frick,2009
338,69,assault,Frick,2010
339,53,assault,Frick,2011
340,76,assault,Frick,2012
341,63,assault,Frick,2013
342,66,assault,Frick,2014
343,34,assault,Frick,2015
344,105,assault,Fruitvale Station,2007
345,75,assault,Fruitvale Station,2008
346,40,assault,Fruitvale Station,2009
347,40,assault,Fruitvale Station,2010
348,41,assault,Fruitvale Station,2011
349,60,assault,Fruitvale Station,2012
350,60,assault,Fruitvale Station,2013
351,27,assault,Fruitvale Station,2014
352,12,assault,Fruitvale Station,2015
353,44,assault,Gaskill,2007
354,51,assault,Gaskill,2008
355,30,assault,Gaskill,2009
356,33,assault,Gaskill,2010
357,30,assault,Gaskill,2011
358,34,assault,Gaskill,2012
359,30,assault,Gaskill,2013
360,19,assault,Gaskill,2014
361,10,assault,Gaskill,2015
362,1,assault,Glen Highlands,2007
363,2,assault,Glen Highlands,2008
364,2,assault,Glen Highlands,2009
365,1,assault,Glen Highlands,2010
366,2,assault,Glen Highlands,2011
367,1,assault,Glen Highlands,2012
368,3,assault,Glen Highlands,2013
369,1,assault,Glen Highlands,2014
370,31,assault,Glenview,2007
371,38,assault,Glenview,2008
372,17,assault,Glenview,2009
373,33,assault,Glenview,2010
374,9,assault,Glenview,2011
375,33,assault,Glenview,2012
376,23,assault,Glenview,2013
377,21,assault,Glenview,2014
378,13,assault,Glenview,2015
379,24,assault,Golden Gate,2007
380,6,assault,Golden Gate,2008
381,7,assault,Golden Gate,2009
382,7,assault,Golden Gate,2010
383,8,assault,Golden Gate,2011
384,35,assault,Golden Gate,2012
385,18,assault,Golden Gate,2013
386,12,assault,Golden Gate,2014
387,1,assault,Golden Gate,2015
388,17,assault,Golf Links,2007
389,25,assault,Golf Links,2008
390,17,assault,Golf Links,2009
391,14,assault,Golf Links,2010
392,8,assault,Golf Links,2011
393,11,assault,Golf Links,2012
394,9,assault,Golf Links,2013
395,16,assault,Golf Links,2014
396,5,assault,Golf Links,2015
397,37,assault,Grand Lake,2007
398,17,assault,Grand Lake,2008
399,15,assault,Grand Lake,2009
400,19,assault,Grand Lake,2010
401,15,assault,Grand Lake,2011
402,16,assault,Grand Lake,2012
403,20,assault,Grand Lake,2013
404,10,assault,Grand Lake,2014
405,5,assault,Grand Lake,2015
406,98,assault,Harrington,2007
407,83,assault,Harrington,2008
408,33,assault,Harrington,2009
409,50,assault,Harrington,2010
410,43,assault,Harrington,2011
411,56,assault,Harrington,2012
412,45,assault,Harrington,2013
413,32,assault,Harrington,2014
414,15,assault,Harrington,2015
415,168,assault,Hawthorne,2007
416,130,assault,Hawthorne,2008
417,39,assault,Hawthorne,2009
418,66,assault,Hawthorne,2010
419,72,assault,Hawthorne,2011
420,86,assault,Hawthorne,2012
421,85,assault,Hawthorne,2013
422,65,assault,Hawthorne,2014
423,47,assault,Hawthorne,2015
424,78,assault,Hegenberger,2007
425,118,assault,Hegenberger,2008
426,62,assault,Hegenberger,2009
427,61,assault,Hegenberger,2010
428,58,assault,Hegenberger,2011
429,77,assault,Hegenberger,2012
