,count,mainCat,neighborhood,year
2306,5,domestic_violence,Glen Highlands,2008
2307,3,domestic_violence,Glen Highlands,2009
2308,4,domestic_violence,Glen Highlands,2010
2309,6,domestic_violence,Glen Highlands,2011
2310,4,domestic_violence,Glen Highlands,2012
2311,7,domestic_violence,Glen Highlands,2013
2312,2,domestic_violence,Glen Highlands,2014
2313,1,domestic_violence,Glen Highlands,2015
2314,35,domestic_violence,Glenview,2007
2315,65,domestic_violence,Glenview,2008
2316,34,domestic_violence,Glenview,2009
2317,30,domestic_violence,Glenview,2010
2318,35,domestic_violence,Glenview,2011
2319,37,domestic_violence,Glenview,2012
2320,35,domestic_violence,Glenview,2013
2321,9,domestic_violence,Glenview,2014
2322,7,domestic_violence,Glenview,2015
2323,29,domestic_violence,Golden Gate,2007
2324,15,domestic_violence,Golden Gate,2008
2325,19,domestic_violence,Golden Gate,2009
2326,14,domestic_violence,Golden Gate,2010
2327,9,domestic_violence,Golden Gate,2011
2328,18,domestic_violence,Golden Gate,2012
2329,6,domestic_violence,Golden Gate,2013
2330,2,domestic_violence,Golden Gate,2014
2331,2,domestic_violence,Golden Gate,2015
2332,9,domestic_violence,Golf Links,2007
2333,15,domestic_violence,Golf Links,2008
2334,17,domestic_violence,Golf Links,2009
2335,13,domestic_violence,Golf Links,2010
2336,10,domestic_violence,Golf Links,2011
2337,23,domestic_violence,Golf Links,2012
2338,12,domestic_violence,Golf Links,2013
2339,5,domestic_violence,Golf Links,2014
2340,6,domestic_violence,Golf Links,2015
2341,50,domestic_violence,Grand Lake,2007
2342,36,domestic_violence,Grand Lake,2008
2343,22,domestic_violence,Grand Lake,2009
2344,60,domestic_violence,Grand Lake,2010
2345,35,domestic_violence,Grand Lake,2011
2346,41,domestic_violence,Grand Lake,2012
2347,30,domestic_violence,Grand Lake,2013
2348,12,domestic_violence,Grand Lake,2014
2349,3,domestic_violence,Grand Lake,2015
2350,81,domestic_violence,Harrington,2007
2351,86,domestic_violence,Harrington,2008
2352,87,domestic_violence,Harrington,2009
2353,55,domestic_violence,Harrington,2010
2354,63,domestic_violence,Harrington,2011
2355,67,domestic_violence,Harrington,2012
2356,70,domestic_violence,Harrington,2013
2357,11,domestic_violence,Harrington,2014
2358,8,domestic_violence,Harrington,2015
2359,88,domestic_violence,Hawthorne,2007
2360,97,domestic_violence,Hawthorne,2008
2361,65,domestic_violence,Hawthorne,2009
2362,65,domestic_violence,Hawthorne,2010
2363,69,domestic_violence,Hawthorne,2011
2364,63,domestic_violence,Hawthorne,2012
2365,53,domestic_violence,Hawthorne,2013
2366,31,domestic_violence,Hawthorne,2014
2367,22,domestic_violence,Hawthorne,2015
2368,77,domestic_violence,Hegenberger,2007
2369,62,domestic_violence,Hegenberger,2008
2370,72,domestic_violence,Hegenberger,2009
2371,63,domestic_violence,Hegenberger,2010
2372,60,domestic_violence,Hegenberger,2011
2373,66,domestic_violence,Hegenberger,2012
2374,87,domestic_violence,Hegenberger,2013
2375,39,domestic_violence,Hegenberger,2014
2376,17,domestic_violence,Hegenberger,2015
2377,98,domestic_violence,Highland,2007
2378,81,domestic_violence,Highland,2008
2379,89,domestic_violence,Highland,2009
2380,91,domestic_violence,Highland,2010
2381,116,domestic_violence,Highland,2011
2382,120,domestic_violence,Highland,2012
2383,79,domestic_violence,Highland,2013
2384,27,domestic_violence,Highland,2014
2385,12,domestic_violence,Highland,2015
2386,60,domestic_violence,Highland Terrace,2007
2387,53,domestic_violence,Highland Terrace,2008
2388,84,domestic_violence,Highland Terrace,2009
2389,77,domestic_violence,Highland Terrace,2010
2390,73,domestic_violence,Highland Terrace,2011
2391,77,domestic_violence,Highland Terrace,2012
2392,51,domestic_violence,Highland Terrace,2013
2393,20,domestic_violence,Highland Terrace,2014
2394,3,domestic_violence,Highland Terrace,2015
2395,6,domestic_violence,Hiller Highlands,2007
2396,3,domestic_violence,Hiller Highlands,2008
2397,5,domestic_violence,Hiller Highlands,2009
2398,1,domestic_violence,Hiller Highlands,2011
2399,4,domestic_violence,Hiller Highlands,2012
2400,1,domestic_violence,Hiller Highlands,2013
2401,1,domestic_violence,Hiller Highlands,2014
2402,164,domestic_violence,Hoover/ Foster,2007
2403,175,domestic_violence,Hoover/ Foster,2008
2404,175,domestic_violence,Hoover/ Foster,2009
2405,147,domestic_violence,Hoover/ Foster,2010
2406,158,domestic_violence,Hoover/ Foster,2011
2407,171,domestic_violence,Hoover/ Foster,2012
2408,154,domestic_violence,Hoover/ Foster,2013
2409,59,domestic_violence,Hoover/ Foster,2014
2410,19,domestic_violence,Hoover/ Foster,2015
2411,83,domestic_violence,Iveywood,2007
2412,75,domestic_violence,Iveywood,2008
2413,79,domestic_violence,Iveywood,2009
2414,73,domestic_violence,Iveywood,2010
2415,58,domestic_violence,Iveywood,2011
2416,72,domestic_violence,Iveywood,2012
2417,50,domestic_violence,Iveywood,2013
2418,24,domestic_violence,Iveywood,2014
2419,8,domestic_violence,Iveywood,2015
2420,84,domestic_violence,Ivy Hill,2007
2421,82,domestic_violence,Ivy Hill,2008
2422,55,domestic_violence,Ivy Hill,2009
2423,76,domestic_violence,Ivy Hill,2010
2424,62,domestic_violence,Ivy Hill,2011
2425,75,domestic_violence,Ivy Hill,2012
2426,92,domestic_violence,Ivy Hill,2013
2427,20,domestic_violence,Ivy Hill,2014
2428,10,domestic_violence,Ivy Hill,2015
2429,59,domestic_violence,Jefferson,2007
2430,57,domestic_violence,Jefferson,2008
2431,83,domestic_violence,Jefferson,2009
2432,61,domestic_violence,Jefferson,2010
2433,41,domestic_violence,Jefferson,2011
2434,49,domestic_violence,Jefferson,2012
2435,48,domestic_violence,Jefferson,2013
2436,19,domestic_violence,Jefferson,2014
2437,13,domestic_violence,Jefferson,2015
2438,22,domestic_violence,Lakeshore,2007
2439,17,domestic_violence,Lakeshore,2008
2440,23,domestic_violence,Lakeshore,2009
2441,23,domestic_violence,Lakeshore,2010
2442,11,domestic_violence,Lakeshore,2011
2443,20,domestic_violence,Lakeshore,2012
2444,21,domestic_violence,Lakeshore,2013
2445,6,domestic_violence,Lakeshore,2014
2446,8,domestic_violence,Lakeshore,2015
2447,69,domestic_violence,Lakewide,2007
2448,67,domestic_violence,Lakewide,2008
2449,65,domestic_violence,Lakewide,2009
2450,65,domestic_violence,Lakewide,2010
2451,69,domestic_violence,Lakewide,2011
2452,41,domestic_violence,Lakewide,2012
2453,45,domestic_violence,Lakewide,2013
2454,16,domestic_violence,Lakewide,2014
2455,8,domestic_violence,Lakewide,2015
2456,58,domestic_violence,Las Palmas,2007
2457,45,domestic_violence,Las Palmas,2008
2458,43,domestic_violence,Las Palmas,2009
2459,49,domestic_violence,Las Palmas,2010
2460,47,domestic_violence,Las Palmas,2011
2461,46,domestic_violence,Las Palmas,2012
2462,40,domestic_violence,Las Palmas,2013
2463,14,domestic_violence,Las Palmas,2014
2464,7,domestic_violence,Las Palmas,2015
2465,38,domestic_violence,Laurel,2007
2466,41,domestic_violence,Laurel,2008
2467,28,domestic_violence,Laurel,2009
2468,34,domestic_violence,Laurel,2010
2469,37,domestic_violence,Laurel,2011
2470,32,domestic_violence,Laurel,2012
2471,48,domestic_violence,Laurel,2013
2472,13,domestic_violence,Laurel,2014
2473,2,domestic_violence,Laurel,2015
2474,2,domestic_violence,Leona Heights,2007
2475,8,domestic_violence,Leona Heights,2008
2476,5,domestic_violence,Leona Heights,2009
2477,4,domestic_violence,Leona Heights,2010
2478,4,domestic_violence,Leona Heights,2011
2479,6,domestic_violence,Leona Heights,2012
2480,1,domestic_violence,Leona Heights,2013
2481,1,domestic_violence,Leona Heights,2014
2482,9,domestic_violence,Lincoln Highlands,2007
2483,21,domestic_violence,Lincoln Highlands,2008
2484,21,domestic_violence,Lincoln Highlands,2009
2485,13,domestic_violence,Lincoln Highlands,2010
2486,9,domestic_violence,Lincoln Highlands,2011
2487,12,domestic_violence,Lincoln Highlands,2012
2488,8,domestic_violence,Lincoln Highlands,2013
2489,3,domestic_violence,Lincoln Highlands,2014
2490,2,domestic_violence,Lincoln Highlands,2015
2491,74,domestic_violence,Lockwood Tevis,2007
2492,119,domestic_violence,Lockwood Tevis,2008
2493,110,domestic_violence,Lockwood Tevis,2009
2494,94,domestic_violence,Lockwood Tevis,2010
2495,101,domestic_violence,Lockwood Tevis,2011
2496,116,domestic_violence,Lockwood Tevis,2012
2497,62,domestic_violence,Lockwood Tevis,2013
2498,46,domestic_violence,Lockwood Tevis,2014
2499,28,domestic_violence,Lockwood Tevis,2015
2500,170,domestic_violence,Longfellow,2007
2501,183,domestic_violence,Longfellow,2008
2502,160,domestic_violence,Longfellow,2009
2503,129,domestic_violence,Longfellow,2010
2504,151,domestic_violence,Longfellow,2011
2505,164,domestic_violence,Longfellow,2012
2506,128,domestic_violence,Longfellow,2013
2507,47,domestic_violence,Longfellow,2014
2508,15,domestic_violence,Longfellow,2015
2509,74,domestic_violence,Lynn/ Highland Park,2007
2510,61,domestic_violence,Lynn/ Highland Park,2008
2511,51,domestic_violence,Lynn/ Highland Park,2009
2512,34,domestic_violence,Lynn/ Highland Park,2010
2513,43,domestic_violence,Lynn/ Highland Park,2011
2514,39,domestic_violence,Lynn/ Highland Park,2012
2515,48,domestic_violence,Lynn/ Highland Park,2013
2516,18,domestic_violence,Lynn/ Highland Park,2014
2517,8,domestic_violence,Lynn/ Highland Park,2015
2518,120,domestic_violence,Maxwell Park,2007
2519,115,domestic_violence,Maxwell Park,2008
2520,101,domestic_violence,Maxwell Park,2009
2521,94,domestic_violence,Maxwell Park,2010
2522,91,domestic_violence,Maxwell Park,2011
2523,74,domestic_violence,Maxwell Park,2012
2524,75,domestic_violence,Maxwell Park,2013
2525,42,domestic_violence,Maxwell Park,2014
2526,13,domestic_violence,Maxwell Park,2015
2527,124,domestic_violence,McClymonds,2007
2528,120,domestic_violence,McClymonds,2008
2529,98,domestic_violence,McClymonds,2009
2530,79,domestic_violence,McClymonds,2010
2531,91,domestic_violence,McClymonds,2011
2532,101,domestic_violence,McClymonds,2012
2533,89,domestic_violence,McClymonds,2013
2534,37,domestic_violence,McClymonds,2014
2535,22,domestic_violence,McClymonds,2015
2536,42,domestic_violence,Melrose,2007
2537,36,domestic_violence,Melrose,2008
2538,29,domestic_violence,Melrose,2009
2539,35,domestic_violence,Melrose,2010
2540,29,domestic_violence,Melrose,2011
2541,16,domestic_violence,Melrose,2012
2542,19,domestic_violence,Melrose,2013
2543,11,domestic_violence,Melrose,2014
2544,7,domestic_violence,Melrose,2015
2545,69,domestic_violence,Merritt,2007
2546,71,domestic_violence,Merritt,2008
2547,55,domestic_violence,Merritt,2009
2548,51,domestic_violence,Merritt,2010
2549,47,domestic_violence,Merritt,2011
2550,37,domestic_violence,Merritt,2012
2551,37,domestic_violence,Merritt,2013
2552,19,domestic_violence,Merritt,2014
2553,7,domestic_violence,Merritt,2015
2554,15,domestic_violence,Merriwood,2007
2555,14,domestic_violence,Merriwood,2008
2556,5,domestic_violence,Merriwood,2009
2557,7,domestic_violence,Merriwood,2010
2558,13,domestic_violence,Merriwood,2011
2559,16,domestic_violence,Merriwood,2012
2560,3,domestic_violence,Merriwood,2013
2561,4,domestic_violence,Merriwood,2014
2562,1,domestic_violence,Merriwood,2015
2563,17,domestic_violence,Mills College,2007
2564,4,domestic_violence,Mills College,2008
2565,5,domestic_violence,Mills College,2009
2566,4,domestic_violence,Mills College,2010
2567,7,domestic_violence,Mills College,2011
2568,9,domestic_violence,Mills College,2012
2569,7,domestic_violence,Mills College,2013
2570,6,domestic_violence,Mills College,2014
2571,2,domestic_violence,Mills College,2015
2572,147,domestic_violence,Millsmont,2007
2573,125,domestic_violence,Millsmont,2008
2574,124,domestic_violence,Millsmont,2009
2575,127,domestic_violence,Millsmont,2010
2576,143,domestic_violence,Millsmont,2011
2577,147,domestic_violence,Millsmont,2012
2578,114,domestic_violence,Millsmont,2013
2579,54,domestic_violence,Millsmont,2014
2580,21,domestic_violence,Millsmont,2015
2581,5,domestic_violence,Montclair,2007
2582,9,domestic_violence,Montclair,2008
2583,1,domestic_violence,Montclair,2009
2584,9,domestic_violence,Montclair,2010
2585,13,domestic_violence,Montclair,2011
2586,10,domestic_violence,Montclair,2012
2587,6,domestic_violence,Montclair,2013
2588,3,domestic_violence,Montclair,2014
2589,5,domestic_violence,Montclair Business,2007
2590,3,domestic_violence,Montclair Business,2008
2591,3,domestic_violence,Montclair Business,2009
2592,3,domestic_violence,Montclair Business,2010
2593,2,domestic_violence,Montclair Business,2011
2594,1,domestic_violence,Montclair Business,2012
2595,2,domestic_violence,Montclair Business,2013
2596,1,domestic_violence,Montclair Business,2014
2597,99,domestic_violence,Mosswood,2007
2598,104,domestic_violence,Mosswood,2008
2599,63,domestic_violence,Mosswood,2009
2600,64,domestic_violence,Mosswood,2010
2601,46,domestic_violence,Mosswood,2011
2602,33,domestic_violence,Mosswood,2012
2603,52,domestic_violence,Mosswood,2013
2604,21,domestic_violence,Mosswood,2014
2605,7,domestic_violence,Mosswood,2015
2606,32,domestic_violence,North Kennedy Tract,2007
2607,27,domestic_violence,North Kennedy Tract,2008
2608,13,domestic_violence,North Kennedy Tract,2009
2609,14,domestic_violence,North Kennedy Tract,2010
2610,17,domestic_violence,North Kennedy Tract,2011
2611,23,domestic_violence,North Kennedy Tract,2012
2612,23,domestic_violence,North Kennedy Tract,2013
2613,16,domestic_violence,North Kennedy Tract,2014
2614,7,domestic_violence,North Kennedy Tract,2015
2615,108,domestic_violence,North Stonehurst,2007
2616,102,domestic_violence,North Stonehurst,2008
2617,88,domestic_violence,North Stonehurst,2009
2618,80,domestic_violence,North Stonehurst,2010
2619,87,domestic_violence,North Stonehurst,2011
2620,80,domestic_violence,North Stonehurst,2012
2621,73,domestic_violence,North Stonehurst,2013
2622,25,domestic_violence,North Stonehurst,2014
2623,16,domestic_violence,North Stonehurst,2015
2624,52,domestic_violence,Northgate,2007
2625,49,domestic_violence,Northgate,2008
2626,51,domestic_violence,Northgate,2009
2627,62,domestic_violence,Northgate,2010
2628,35,domestic_violence,Northgate,2011
2629,48,domestic_violence,Northgate,2012
2630,30,domestic_violence,Northgate,2013
2631,16,domestic_violence,Northgate,2014
2632,6,domestic_violence,Northgate,2015
2633,50,domestic_violence,Not Named1,2007
2634,32,domestic_violence,Not Named1,2008
2635,30,domestic_violence,Not Named1,2009
2636,25,domestic_violence,Not Named1,2010
2637,34,domestic_violence,Not Named1,2011
2638,20,domestic_violence,Not Named1,2012
2639,17,domestic_violence,Not Named1,2013
2640,17,domestic_violence,Not Named1,2014
2641,9,domestic_violence,Not Named1,2015
2642,1,domestic_violence,Not Named2,2007
2643,1,domestic_violence,Not Named2,2008
2644,3,domestic_violence,Not Named2,2009
2645,2,domestic_violence,Not Named2,2011
2646,3,domestic_violence,Not Named2,2012
2647,1,domestic_violence,Not Named2,2014
2648,1,domestic_violence,Not Named3,2008
2649,1,domestic_violence,Not Named3,2009
2650,1,domestic_violence,Not Named3,2012
2651,1,domestic_violence,Not Named3,2014
2652,1,domestic_violence,Not Named4,2008
2653,1,domestic_violence,Not Named4,2009
2654,1,domestic_violence,Not Named4,2013
2655,4,domestic_violence,Not Named5,2012
2656,2,domestic_violence,Not Named6,2009
2657,2,domestic_violence,Not Named6,2010
2658,1,domestic_violence,Not Named6,2011
2659,8,domestic_violence,Not Named7,2007
2660,1,domestic_violence,Not Named7,2008
2661,2,domestic_violence,Not Named7,2009
2662,8,domestic_violence,Not Named7,2010
2663,4,domestic_violence,Not Named7,2011
2664,6,domestic_violence,Not Named7,2012
2665,2,domestic_violence,Not Named7,2013
2666,1,domestic_violence,Not Named7,2014
2667,1,domestic_violence,Not Named7,2015
2668,24,domestic_violence,Not Named8,2007
2669,43,domestic_violence,Not Named8,2008
2670,38,domestic_violence,Not Named8,2009
2671,65,domestic_violence,Not Named8,2010
2672,51,domestic_violence,Not Named8,2011
2673,46,domestic_violence,Not Named8,2012
2674,42,domestic_violence,Not Named8,2013
2675,24,domestic_violence,Not Named8,2014
2676,10,domestic_violence,Not Named8,2015
2677,101,domestic_violence,Oak Center,2007
2678,114,domestic_violence,Oak Center,2008
2679,94,domestic_violence,Oak Center,2009
2680,85,domestic_violence,Oak Center,2010
2681,106,domestic_violence,Oak Center,2011
2682,95,domestic_violence,Oak Center,2012
2683,85,domestic_violence,Oak Center,2013
2684,45,domestic_violence,Oak Center,2014
2685,19,domestic_violence,Oak Center,2015
2686,95,domestic_violence,Oak Tree,2007
2687,71,domestic_violence,Oak Tree,2008
2688,69,domestic_violence,Oak Tree,2009
2689,72,domestic_violence,Oak Tree,2010
2690,71,domestic_violence,Oak Tree,2011
2691,86,domestic_violence,Oak Tree,2012
2692,94,domestic_violence,Oak Tree,2013
2693,33,domestic_violence,Oak Tree,2014
2694,16,domestic_violence,Oak Tree,2015
2695,119,domestic_violence,Oakland Ave/ Harrison St,2007
2696,73,domestic_violence,Oakland Ave/ Harrison St,2008
2697,66,domestic_violence,Oakland Ave/ Harrison St,2009
2698,62,domestic_violence,Oakland Ave/ Harrison St,2010
2699,59,domestic_violence,Oakland Ave/ Harrison St,2011
2700,81,domestic_violence,Oakland Ave/ Harrison St,2012
2701,63,domestic_violence,Oakland Ave/ Harrison St,2013
2702,24,domestic_violence,Oakland Ave/ Harrison St,2014
2703,13,domestic_violence,Oakland Ave/ Harrison St,2015
2704,11,domestic_violence,Oakmore,2007
2705,11,domestic_violence,Oakmore,2008
2706,11,domestic_violence,Oakmore,2009
2707,8,domestic_violence,Oakmore,2010
2708,13,domestic_violence,Oakmore,2011
2709,10,domestic_violence,Oakmore,2012
2710,12,domestic_violence,Oakmore,2013
2711,4,domestic_violence,Oakmore,2014
2712,4,domestic_violence,Oakmore,2015
2713,56,domestic_violence,Old City/ Produce & Waterfront,2007
2714,57,domestic_violence,Old City/ Produce & Waterfront,2008
2715,58,domestic_violence,Old City/ Produce & Waterfront,2009
2716,75,domestic_violence,Old City/ Produce & Waterfront,2010
2717,74,domestic_violence,Old City/ Produce & Waterfront,2011
2718,70,domestic_violence,Old City/ Produce & Waterfront,2012
2719,62,domestic_violence,Old City/ Produce & Waterfront,2013
2720,16,domestic_violence,Old City/ Produce & Waterfront,2014
2721,13,domestic_violence,Old City/ Produce & Waterfront,2015
2722,83,domestic_violence,Paradise Park,2007
2723,73,domestic_violence,Paradise Park,2008
2724,73,domestic_violence,Paradise Park,2009
2725,62,domestic_violence,Paradise Park,2010
2726,57,domestic_violence,Paradise Park,2011
2727,44,domestic_violence,Paradise Park,2012
2728,33,domestic_violence,Paradise Park,2013
2729,9,domestic_violence,Paradise Park,2014
2730,1,domestic_violence,Paradise Park,2015
2731,52,domestic_violence,Patten,2007
2732,58,domestic_violence,Patten,2008
2733,49,domestic_violence,Patten,2009
2734,40,domestic_violence,Patten,2010
2735,48,domestic_violence,Patten,2011
2736,51,domestic_violence,Patten,2012
2737,52,domestic_violence,Patten,2013
2738,12,domestic_violence,Patten,2014
2739,8,domestic_violence,Patten,2015
2740,42,domestic_violence,Peralta/ Hacienda,2007
2741,36,domestic_violence,Peralta/ Hacienda,2008
2742,45,domestic_violence,Peralta/ Hacienda,2009
2743,25,domestic_violence,Peralta/ Hacienda,2010
2744,22,domestic_violence,Peralta/ Hacienda,2011
2745,28,domestic_violence,Peralta/ Hacienda,2012
2746,28,domestic_violence,Peralta/ Hacienda,2013
2747,16,domestic_violence,Peralta/ Hacienda,2014
2748,7,domestic_violence,Peralta/ Hacienda,2015
2749,3,domestic_violence,Peralta/ Laney,2007
2750,1,domestic_violence,Peralta/ Laney,2009
2751,7,domestic_violence,Peralta/ Laney,2010
2752,5,domestic_violence,Peralta/ Laney,2011
2753,4,domestic_violence,Peralta/ Laney,2012
2754,9,domestic_violence,Peralta/ Laney,2013
2755,1,domestic_violence,Peralta/ Laney,2014
2756,66,domestic_violence,Piedmont Avenue,2007
2757,63,domestic_violence,Piedmont Avenue,2008
2758,58,domestic_violence,Piedmont Avenue,2009
2759,48,domestic_violence,Piedmont Avenue,2010
2760,59,domestic_violence,Piedmont Avenue,2011
2761,58,domestic_violence,Piedmont Avenue,2012
2762,42,domestic_violence,Piedmont Avenue,2013
2763,19,domestic_violence,Piedmont Avenue,2014
2764,10,domestic_violence,Piedmont Avenue,2015
2765,15,domestic_violence,Piedmont Pines,2007
2766,5,domestic_violence,Piedmont Pines,2008
2767,4,domestic_violence,Piedmont Pines,2009
2768,8,domestic_violence,Piedmont Pines,2010
2769,12,domestic_violence,Piedmont Pines,2011
2770,9,domestic_violence,Piedmont Pines,2012
2771,7,domestic_violence,Piedmont Pines,2013
2772,4,domestic_violence,Piedmont Pines,2014
2773,72,domestic_violence,Pill Hill,2007
2774,40,domestic_violence,Pill Hill,2008
2775,66,domestic_violence,Pill Hill,2009
2776,39,domestic_violence,Pill Hill,2010
2777,27,domestic_violence,Pill Hill,2011
2778,44,domestic_violence,Pill Hill,2012
2779,60,domestic_violence,Pill Hill,2013
2780,33,domestic_violence,Pill Hill,2014
2781,5,domestic_violence,Pill Hill,2015
2782,153,domestic_violence,Prescott,2007
2783,142,domestic_violence,Prescott,2008
2784,139,domestic_violence,Prescott,2009
2785,145,domestic_violence,Prescott,2010
2786,160,domestic_violence,Prescott,2011
2787,170,domestic_violence,Prescott,2012
2788,177,domestic_violence,Prescott,2013
2789,58,domestic_violence,Prescott,2014
2790,32,domestic_violence,Prescott,2015
2791,41,domestic_violence,Produce & Waterfront,2007
2792,21,domestic_violence,Produce & Waterfront,2008
2793,38,domestic_violence,Produce & Waterfront,2009
2794,32,domestic_violence,Produce & Waterfront,2010
2795,23,domestic_violence,Produce & Waterfront,2011
2796,21,domestic_violence,Produce & Waterfront,2012
2797,20,domestic_violence,Produce & Waterfront,2013
2798,9,domestic_violence,Produce & Waterfront,2014
2799,4,domestic_violence,Produce & Waterfront,2015
2800,87,domestic_violence,Ralph Bunche,2007
2801,112,domestic_violence,Ralph Bunche,2008
2802,70,domestic_violence,Ralph Bunche,2009
2803,61,domestic_violence,Ralph Bunche,2010
2804,59,domestic_violence,Ralph Bunche,2011
2805,82,domestic_violence,Ralph Bunche,2012
2806,60,domestic_violence,Ralph Bunche,2013
2807,25,domestic_violence,Ralph Bunche,2014
2808,7,domestic_violence,Ralph Bunche,2015
2809,125,domestic_violence,Rancho San Antonio,2007
2810,103,domestic_violence,Rancho San Antonio,2008
2811,89,domestic_violence,Rancho San Antonio,2009
2812,78,domestic_violence,Rancho San Antonio,2010
2813,67,domestic_violence,Rancho San Antonio,2011
2814,88,domestic_violence,Rancho San Antonio,2012
2815,96,domestic_violence,Rancho San Antonio,2013
2816,44,domestic_violence,Rancho San Antonio,2014
2817,19,domestic_violence,Rancho San Antonio,2015
2818,59,domestic_violence,Redwood Heights,2007
2819,26,domestic_violence,Redwood Heights,2008
2820,18,domestic_violence,Redwood Heights,2009
2821,23,domestic_violence,Redwood Heights,2010
2822,17,domestic_violence,Redwood Heights,2011
2823,22,domestic_violence,Redwood Heights,2012
2824,23,domestic_violence,Redwood Heights,2013
2825,14,domestic_violence,Redwood Heights,2014
2826,7,domestic_violence,Redwood Heights,2015
2827,112,domestic_violence,Reservoir Hill/ Meadow Brook,2007
2828,110,domestic_violence,Reservoir Hill/ Meadow Brook,2008
2829,107,domestic_violence,Reservoir Hill/ Meadow Brook,2009
2830,82,domestic_violence,Reservoir Hill/ Meadow Brook,2010
2831,90,domestic_violence,Reservoir Hill/ Meadow Brook,2011
2832,115,domestic_violence,Reservoir Hill/ Meadow Brook,2012
2833,99,domestic_violence,Reservoir Hill/ Meadow Brook,2013
2834,56,domestic_violence,Reservoir Hill/ Meadow Brook,2014
2835,15,domestic_violence,Reservoir Hill/ Meadow Brook,2015
2836,31,domestic_violence,Rockridge,2007
2837,29,domestic_violence,Rockridge,2008
2838,22,domestic_violence,Rockridge,2009
2839,9,domestic_violence,Rockridge,2010
2840,15,domestic_violence,Rockridge,2011
2841,12,domestic_violence,Rockridge,2012
2842,13,domestic_violence,Rockridge,2013
2843,2,domestic_violence,Rockridge,2014
2844,4,domestic_violence,Rockridge,2015
2845,49,domestic_violence,San Pablo Gateway,2007
2846,100,domestic_violence,San Pablo Gateway,2008
2847,80,domestic_violence,San Pablo Gateway,2009
2848,93,domestic_violence,San Pablo Gateway,2010
2849,77,domestic_violence,San Pablo Gateway,2011
2850,79,domestic_violence,San Pablo Gateway,2012
2851,79,domestic_violence,San Pablo Gateway,2013
2852,19,domestic_violence,San Pablo Gateway,2014
2853,20,domestic_violence,San Pablo Gateway,2015
2854,50,domestic_violence,Santa Fe,2007
2855,60,domestic_violence,Santa Fe,2008
2856,48,domestic_violence,Santa Fe,2009
2857,54,domestic_violence,Santa Fe,2010
2858,78,domestic_violence,Santa Fe,2011
2859,64,domestic_violence,Santa Fe,2012
2860,61,domestic_violence,Santa Fe,2013
2861,18,domestic_violence,Santa Fe,2014
2862,4,domestic_violence,Santa Fe,2015
2863,74,domestic_violence,Sausal Creek,2007
2864,78,domestic_violence,Sausal Creek,2008
2865,79,domestic_violence,Sausal Creek,2009
2866,67,domestic_violence,Sausal Creek,2010
2867,55,domestic_violence,Sausal Creek,2011
2868,85,domestic_violence,Sausal Creek,2012
2869,71,domestic_violence,Sausal Creek,2013
2870,30,domestic_violence,Sausal Creek,2014
2871,8,domestic_violence,Sausal Creek,2015
2872,45,domestic_violence,School,2007
2873,43,domestic_violence,School,2008
2874,33,domestic_violence,School,2009
2875,24,domestic_violence,School,2010
2876,42,domestic_violence,School,2011
2877,46,domestic_violence,School,2012
2878,38,domestic_violence,School,2013
2879,16,domestic_violence,School,2014
2880,5,domestic_violence,School,2015
2881,221,domestic_violence,Seminary,2007
2882,310,domestic_violence,Seminary,2008
2883,187,domestic_violence,Seminary,2009
2884,185,domestic_violence,Seminary,2010
2885,136,domestic_violence,Seminary,2011
2886,178,domestic_violence,Seminary,2012
2887,158,domestic_violence,Seminary,2013
2888,89,domestic_violence,Seminary,2014
2889,38,domestic_violence,Seminary,2015
2890,49,domestic_violence,Sequoyah,2007
2891,50,domestic_violence,Sequoyah,2008
2892,34,domestic_violence,Sequoyah,2009
2893,49,domestic_violence,Sequoyah,2010
2894,34,domestic_violence,Sequoyah,2011
2895,24,domestic_violence,Sequoyah,2012
2896,22,domestic_violence,Sequoyah,2013
2897,3,domestic_violence,Sequoyah,2014
2898,2,domestic_violence,Sequoyah,2015
2899,21,domestic_violence,Shafter,2007
2900,36,domestic_violence,Shafter,2008
2901,18,domestic_violence,Shafter,2009
2902,20,domestic_violence,Shafter,2010
2903,28,domestic_violence,Shafter,2011
2904,12,domestic_violence,Shafter,2012
2905,18,domestic_violence,Shafter,2013
2906,8,domestic_violence,Shafter,2014
2907,7,domestic_violence,Shafter,2015
2908,10,domestic_violence,Sheffield Village,2007
2909,2,domestic_violence,Sheffield Village,2008
2910,12,domestic_violence,Sheffield Village,2009
2911,3,domestic_violence,Sheffield Village,2010
2912,5,domestic_violence,Sheffield Village,2011
2913,2,domestic_violence,Sheffield Village,2012
2914,10,domestic_violence,Sheffield Village,2013
2915,1,domestic_violence,Shepherd Canyon,2007
2916,2,domestic_violence,Shepherd Canyon,2008
2917,4,domestic_violence,Shepherd Canyon,2009
2918,2,domestic_violence,Shepherd Canyon,2010
2919,2,domestic_violence,Shepherd Canyon,2011
2920,6,domestic_violence,Shepherd Canyon,2012
2921,3,domestic_violence,Shepherd Canyon,2013
2922,1,domestic_violence,Skyline - Hillcrest Estates,2007
2923,5,domestic_violence,Skyline - Hillcrest Estates,2008
2924,3,domestic_violence,Skyline - Hillcrest Estates,2009
2925,4,domestic_violence,Skyline - Hillcrest Estates,2010
2926,4,domestic_violence,Skyline - Hillcrest Estates,2011
